Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Cmp_x,Att_x,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6
Aaron Cresswell,eng ENG,"DF,FW",West Ham,eng Premier League,33,1989,4.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,254,308,82.5,4176,1722,142,155,91.6,80,96,83.3,25,48,52.1,0,0.4,0.3,-0.4,5,15,4,0,26,Matches,308,245,63,9,0,4,11,50,4,1,3,0,254,0,3,Matches,12,2.48,7,3,0,0,2,0,1,0.21,1,0,0,0,0,0,Matches,3,2,1,1,1,2,3,66.7,1,5,3,2,3,6,7,0,Matches,326,18,125,141,61,1,326,1,0,0,1,100,169,522,220,4,5,0,0,2,210,6,Matches
Aaron Hickey,sct SCO,DF,Brentford,eng Premier League,21,2002,7.9,0,7,1,14.3,0.88,0.13,0,0,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,243,277,87.7,3813,894,134,140,95.7,92,106,86.8,14,20,70,0,0.1,0.1,-0.1,1,10,2,0,21,Matches,277,254,23,3,1,3,5,20,0,0,0,0,243,0,7,Matches,7,0.88,6,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches,16,9,9,3,4,7,7,100,0,7,3,4,3,19,10,0,Matches,356,25,132,155,76,7,356,14,5,35.7,5,35.7,212,1107,505,9,3,1,14,5,225,13,Matches
Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,17,2005,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,25,1998,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,131,188,69.7,3303,2420,38,38,100,61,62,98.4,32,86,37.2,0,0,0,0,0,4,0,0,2,Matches,188,153,35,16,0,0,0,0,0,0,0,0,131,0,2,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,Matches,197,140,186,11,0,0,197,0,0,,0,,137,697,399,0,0,0,1,0,104,0,Matches
Aaron Ramsey,eng ENG,"MF,FW",Burnley,eng Premier League,20,2003,5.9,0,6,2,33.3,1.02,0.34,0,0,16.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,118,151,78.1,1856,224,71,84,84.5,37,46,80.4,9,10,90,0,0.4,0.5,-0.4,1,7,2,0,8,Matches,151,141,9,1,1,0,2,2,0,0,0,0,118,1,9,Matches,5,0.85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,17,14,7,5,5,8,16,50,8,11,2,9,1,18,10,0,Matches,228,15,63,102,65,9,228,10,3,30,6,60,117,514,168,8,5,4,11,10,142,17,Matches
Aaron Seydel,de GER,FW,Darmstadt 98,de Bundesliga,27,1996,6.9,1,14,6,42.9,2.04,0.87,0.07,0.17,16.8,0,0,0,1,1,0.07,0,0,Matches,110,190,57.9,1535,254,66,99,66.7,33,65,50.8,4,6,66.7,0,0.7,0.6,-0.7,9,9,1,0,10,Matches,190,176,12,0,0,0,1,2,0,0,0,0,110,2,7,Matches,13,1.89,12,0,0,0,1,0,1,0.15,1,0,0,0,0,0,Matches,3,2,0,2,1,0,3,0,3,8,2,6,1,4,9,0,Matches,283,13,20,136,128,31,283,11,3,27.3,7,63.6,123,451,117,7,3,3,26,12,214,35,Matches
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,eng Premier League,25,1997,19.8,0,3,1,33.3,0.15,0.05,0,0,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,823,986,83.5,10824,3539,536,599,89.5,243,285,85.3,19,38,50,2,1.5,1.4,0.5,12,51,16,3,77,Matches,986,839,145,7,0,1,14,138,0,0,0,0,823,2,27,Matches,26,1.31,24,1,0,0,1,0,3,0.15,3,0,0,0,0,0,Matches,42,25,18,20,4,19,26,73.1,7,29,15,14,41,83,68,1,Matches,1225,85,424,538,278,24,1225,32,17,53.1,9,28.1,594,2909,1429,30,27,4,20,9,691,54,Matches
Aarón Escandell,es ESP,GK,Las Palmas,es La Liga,27,1995,1.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,64,86,74.4,1579,1172,15,15,100,29,29,100,18,39,46.2,0,0,0,0,0,1,0,0,0,Matches,86,65,20,8,0,0,0,0,0,0,0,0,64,1,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches,88,69,87,1,0,0,88,0,0,,0,,42,156,108,0,0,0,0,0,44,0,Matches
Aarón Martín,es ESP,DF,Genoa,it Serie A,26,1997,15.3,0,5,0,0,0.33,0,0,,24.8,2,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,431,619,69.6,7748,2727,195,216,90.3,169,227,74.4,54,128,42.2,1,1.7,1.7,-0.7,26,26,16,11,35,Matches,619,495,119,16,0,2,106,71,32,7,21,0,431,5,22,Matches,33,2.16,20,12,1,0,0,0,2,0.13,2,0,0,0,0,0,Matches,21,10,7,10,4,9,22,40.9,13,12,4,8,9,30,15,0,Matches,703,26,166,288,255,10,703,12,6,50,6,50,367,1839,972,28,21,3,12,4,432,72,Matches
Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,20,2002,19.9,2,11,5,45.5,0.55,0.25,0.18,0.4,14.6,0,0,0,1.6,1.6,0.14,0.4,0.4,Matches,1111,1266,87.8,19769,6698,436,473,92.2,567,618,91.7,81,139,58.3,0,0.5,0.2,-0.5,5,52,4,0,72,Matches,1266,1186,79,30,0,7,3,17,0,0,0,0,1111,1,5,Matches,14,0.7,12,0,0,0,0,2,1,0.05,0,0,0,0,0,1,Matches,54,23,30,19,5,29,40,72.5,11,40,11,29,26,80,70,2,Matches,1490,201,717,729,56,18,1490,13,9,69.2,4,30.8,1060,5999,3215,8,11,0,14,7,962,2,Matches
