,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x.1,Att_x.1,Cmp%.1,Cmp_x.2,Att_x.2,Cmp%.2,Cmp_x.3,Att_x.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh_df4.1,Fld.1,Def.1,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl.1,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6,position,sub_position
0,Aaron Cresswell,eng ENG,"DF,FW",West Ham,eng Premier League,33.0,1989.0,4.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,254.0,308.0,82.5,4176.0,1722.0,142.0,155.0,91.6,80.0,96.0,83.3,25.0,48.0,52.1,0.0,0.4,0.3,-0.4,5.0,15.0,4.0,0.0,26.0,Matches,308.0,245.0,63.0,9.0,0.0,4.0,11.0,50.0,4.0,1.0,3.0,0.0,254.0,0.0,3.0,Matches,12.0,2.48,7.0,3.0,0.0,0.0,2.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,Matches,3.0,2.0,1.0,1.0,1.0,2.0,3.0,66.7,1.0,5.0,3.0,2.0,3.0,6.0,7.0,0.0,Matches,326.0,18.0,125.0,141.0,61.0,1.0,326.0,1.0,0.0,0.0,1.0,100.0,169.0,522.0,220.0,4.0,5.0,0.0,0.0,2.0,210.0,6.0,Matches,Defender,Left-Back
1,Aaron Hickey,sct SCO,DF,Brentford,eng Premier League,21.0,2002.0,7.9,0.0,7.0,1.0,14.3,0.88,0.13,0.0,0.0,25.3,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,Matches,243.0,277.0,87.7,3813.0,894.0,134.0,140.0,95.7,92.0,106.0,86.8,14.0,20.0,70.0,0.0,0.1,0.1,-0.1,1.0,10.0,2.0,0.0,21.0,Matches,277.0,254.0,23.0,3.0,1.0,3.0,5.0,20.0,0.0,0.0,0.0,0.0,243.0,0.0,7.0,Matches,7.0,0.88,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,16.0,9.0,9.0,3.0,4.0,7.0,7.0,100.0,0.0,7.0,3.0,4.0,3.0,19.0,10.0,0.0,Matches,356.0,25.0,132.0,155.0,76.0,7.0,356.0,14.0,5.0,35.7,5.0,35.7,212.0,1107.0,505.0,9.0,3.0,1.0,14.0,5.0,225.0,13.0,Matches,Defender,Left-Back
2,Aaron Ramsey,eng ENG,"MF,FW",Burnley,eng Premier League,20.0,2003.0,5.9,0.0,6.0,2.0,33.3,1.02,0.34,0.0,0.0,16.5,0.0,0.0,0.0,0.3,0.3,0.06,-0.3,-0.3,Matches,118.0,151.0,78.1,1856.0,224.0,71.0,84.0,84.5,37.0,46.0,80.4,9.0,10.0,90.0,0.0,0.4,0.5,-0.4,1.0,7.0,2.0,0.0,8.0,Matches,151.0,141.0,9.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,118.0,1.0,9.0,Matches,5.0,0.85,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,17.0,14.0,7.0,5.0,5.0,8.0,16.0,50.0,8.0,11.0,2.0,9.0,1.0,18.0,10.0,0.0,Matches,228.0,15.0,63.0,102.0,65.0,9.0,228.0,10.0,3.0,30.0,6.0,60.0,117.0,514.0,168.0,8.0,5.0,4.0,11.0,10.0,142.0,17.0,Matches,Midfield,Central Midfield
3,Aaron Seydel,de GER,FW,Darmstadt 98,de Bundesliga,27.0,1996.0,6.9,1.0,14.0,6.0,42.9,2.04,0.87,0.07,0.17,16.8,0.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0,Matches,110.0,190.0,57.9,1535.0,254.0,66.0,99.0,66.7,33.0,65.0,50.8,4.0,6.0,66.7,0.0,0.7,0.6,-0.7,9.0,9.0,1.0,0.0,10.0,Matches,190.0,176.0,12.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,110.0,2.0,7.0,Matches,13.0,1.89,12.0,0.0,0.0,0.0,1.0,0.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,Matches,3.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,3.0,8.0,2.0,6.0,1.0,4.0,9.0,0.0,Matches,283.0,13.0,20.0,136.0,128.0,31.0,283.0,11.0,3.0,27.3,7.0,63.6,123.0,451.0,117.0,7.0,3.0,3.0,26.0,12.0,214.0,35.0,Matches,Attack,Centre-Forward
6,Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,20.0,2002.0,19.9,2.0,11.0,5.0,45.5,0.55,0.25,0.18,0.4,14.6,0.0,0.0,0.0,1.6,1.6,0.14,0.4,0.4,Matches,1111.0,1266.0,87.8,19769.0,6698.0,436.0,473.0,92.2,567.0,618.0,91.7,81.0,139.0,58.3,0.0,0.5,0.2,-0.5,5.0,52.0,4.0,0.0,72.0,Matches,1266.0,1186.0,79.0,30.0,0.0,7.0,3.0,17.0,0.0,0.0,0.0,0.0,1111.0,1.0,5.0,Matches,14.0,0.7,12.0,0.0,0.0,0.0,0.0,2.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,Matches,54.0,23.0,30.0,19.0,5.0,29.0,40.0,72.5,11.0,40.0,11.0,29.0,26.0,80.0,70.0,2.0,Matches,1490.0,201.0,717.0,729.0,56.0,18.0,1490.0,13.0,9.0,69.2,4.0,30.8,1060.0,5999.0,3215.0,8.0,11.0,0.0,14.0,7.0,962.0,2.0,Matches,Defender,Centre-Back
9,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24.0,1999.0,25.7,0.0,10.0,3.0,30.0,0.39,0.12,0.0,0.0,12.1,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,Matches,553.0,762.0,72.6,12370.0,4872.0,141.0,164.0,86.0,302.0,339.0,89.1,99.0,225.0,44.0,0.0,0.2,0.2,-0.2,3.0,61.0,2.0,0.0,49.0,Matches,762.0,704.0,55.0,50.0,0.0,17.0,2.0,4.0,0.0,0.0,0.0,0.0,553.0,3.0,10.0,Matches,12.0,0.47,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,35.0,19.0,28.0,5.0,2.0,21.0,35.0,60.0,14.0,31.0,26.0,5.0,23.0,58.0,115.0,0.0,Matches,1032.0,191.0,570.0,422.0,42.0,21.0,1032.0,5.0,3.0,60.0,1.0,20.0,492.0,2460.0,1418.0,7.0,6.0,0.0,15.0,1.0,499.0,1.0,Matches,Defender,Centre-Back
11,Abdou Harroui,nl NED,"MF,FW",Frosinone,it Serie A,25.0,1998.0,11.3,3.0,32.0,11.0,34.4,2.83,0.97,0.06,0.18,21.1,0.0,1.0,1.0,3.1,2.3,0.07,-0.1,-0.3,Matches,303.0,383.0,79.1,4174.0,1016.0,186.0,216.0,86.1,84.0,106.0,79.2,15.0,25.0,60.0,3.0,1.2,1.4,1.8,16.0,29.0,12.0,4.0,38.0,Matches,383.0,361.0,18.0,4.0,4.0,2.0,12.0,6.0,2.0,1.0,0.0,0.0,303.0,4.0,11.0,Matches,39.0,3.44,27.0,0.0,4.0,5.0,3.0,0.0,4.0,0.35,3.0,0.0,0.0,1.0,0.0,0.0,Matches,23.0,11.0,11.0,11.0,1.0,8.0,16.0,50.0,8.0,19.0,3.0,16.0,5.0,28.0,8.0,0.0,Matches,564.0,11.0,79.0,276.0,220.0,32.0,563.0,44.0,19.0,43.2,21.0,47.7,308.0,2227.0,1221.0,43.0,31.0,8.0,28.0,7.0,378.0,56.0,Matches,Midfield,Central Midfield
12,Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,29.0,1994.0,6.8,2.0,14.0,5.0,35.7,2.06,0.74,0.14,0.4,16.1,1.0,0.0,0.0,2.1,2.1,0.16,-0.1,-0.1,Matches,267.0,336.0,79.5,4343.0,1133.0,127.0,151.0,84.1,103.0,128.0,80.5,22.0,36.0,61.1,1.0,1.0,1.1,0.0,11.0,18.0,10.0,2.0,31.0,Matches,336.0,307.0,26.0,11.0,3.0,1.0,26.0,6.0,9.0,4.0,3.0,0.0,267.0,3.0,1.0,Matches,36.0,5.29,22.0,3.0,2.0,3.0,6.0,0.0,3.0,0.44,2.0,1.0,0.0,0.0,0.0,0.0,Matches,10.0,7.0,2.0,5.0,3.0,5.0,15.0,33.3,10.0,4.0,0.0,4.0,4.0,14.0,4.0,1.0,Matches,423.0,8.0,46.0,177.0,204.0,26.0,423.0,31.0,10.0,32.3,14.0,45.2,346.0,2364.0,1179.0,41.0,25.0,13.0,17.0,13.0,327.0,73.0,Matches,Attack,Right Winger
16,Abdul Mumin,gh GHA,DF,Rayo Vallecano,es La Liga,25.0,1998.0,18.8,1.0,6.0,1.0,16.7,0.32,0.05,0.17,1.0,15.9,0.0,0.0,0.0,0.4,0.4,0.06,0.6,0.6,Matches,617.0,773.0,79.8,12936.0,4915.0,179.0,203.0,88.2,355.0,393.0,90.3,76.0,163.0,46.6,0.0,0.3,0.1,-0.3,4.0,34.0,4.0,0.0,38.0,Matches,773.0,743.0,28.0,26.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,617.0,2.0,3.0,Matches,11.0,0.58,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,19.0,10.0,13.0,4.0,2.0,8.0,10.0,80.0,2.0,27.0,19.0,8.0,22.0,41.0,82.0,1.0,Matches,956.0,127.0,578.0,359.0,25.0,8.0,956.0,4.0,2.0,50.0,1.0,25.0,492.0,2318.0,989.0,6.0,2.0,0.0,7.0,3.0,558.0,4.0,Matches,Defender,Centre-Back
18,Ablie Jallow,gm GAM,"MF,FW",Metz,fr Ligue 1,24.0,1998.0,10.2,3.0,17.0,6.0,35.3,1.67,0.59,0.12,0.33,21.7,1.0,1.0,1.0,2.0,1.2,0.07,1.0,0.8,Matches,248.0,318.0,78.0,4487.0,1116.0,112.0,138.0,81.2,97.0,120.0,80.8,30.0,46.0,65.2,2.0,1.0,0.7,1.0,12.0,22.0,10.0,0.0,42.0,Matches,318.0,295.0,21.0,6.0,2.0,8.0,23.0,2.0,12.0,8.0,3.0,0.0,248.0,2.0,7.0,Matches,30.0,2.94,19.0,6.0,2.0,1.0,2.0,0.0,7.0,0.69,6.0,1.0,0.0,0.0,0.0,0.0,Matches,8.0,5.0,2.0,3.0,3.0,3.0,5.0,60.0,2.0,4.0,0.0,4.0,8.0,16.0,3.0,0.0,Matches,419.0,4.0,56.0,226.0,151.0,15.0,418.0,38.0,16.0,42.1,21.0,55.3,324.0,2436.0,1153.0,29.0,27.0,3.0,21.0,14.0,304.0,53.0,Matches,Attack,Right Winger
