,Player,position,sub_position,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh_df8,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK_x,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches_x,Cmp_x,Att_x,Cmp%,TotDist_df10,PrgDist_df10,Cmp_x.1,Att_x.1,Cmp%.1,Cmp_x.2,Att_x.2,Cmp%.2,Cmp_x.3,Att_x.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3_df10,PPA,CrsPA,PrgP,Matches_y,Att_y,Live_df10,Dead,FK_y,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_y,Off,Blocksdf9,Matches_df8,SCA,SCA90,PassLive,PassDead,TO,Sh_df4,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh_df4.1,Fld.1,Def.1,Matches_df4,Tkl,TklW,Def 3rd_df10,Mid 3rd_df10,Att 3rd_df10,Tkl.1,Att_df10,Tkl%,Lost,Blocks_df5,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches_df10,Touches,Def Pen,Def 3rd_df6,Mid 3rd_df6,Att 3rd_df6,Att Pen,Live_df6,Att_df6,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_df6,PrgDist_df6,PrgC,1/3_df6,CPA,Mis,Dis,Rec,PrgR,Matches_df6
12,Aaron Hickey,Defender,Left-Back,sct SCO,DF,Brentford,eng Premier League,21,2002,7.9,0,7,1,14.3,0.88,0.13,0,0,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,243,277,87.7,3813,894,134,140,95.7,92,106,86.8,14,20,70,0,0.1,0.1,-0.1,1,10,2,0,21,Matches,277,254,23,3,1,3,5,20,0,0,0,0,243,0,7,Matches,7,0.88,6,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches,16,9,9,3,4,7,7,100,0,7,3,4,3,19,10,0,Matches,356,25,132,155,76,7,356,14,5,35.7,5,35.7,212,1107,505,9,3,1,14,5,225,13,Matches
35,Aaron Ramsey,Midfield,Central Midfield,eng ENG,"MF,FW",Burnley,eng Premier League,20,2003,5.9,0,6,2,33.3,1.02,0.34,0,0,16.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,118,151,78.1,1856,224,71,84,84.5,37,46,80.4,9,10,90,0,0.4,0.5,-0.4,1,7,2,0,8,Matches,151,141,9,1,1,0,2,2,0,0,0,0,118,1,9,Matches,5,0.85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,17,14,7,5,5,8,16,50,8,11,2,9,1,18,10,0,Matches,228,15,63,102,65,9,228,10,3,30,6,60,117,514,168,8,5,4,11,10,142,17,Matches
37,Aaron Seydel,Attack,Centre-Forward,de GER,FW,Darmstadt 98,de Bundesliga,27,1996,6.9,1,14,6,42.9,2.04,0.87,0.07,0.17,16.8,0,0,0,1,1,0.07,0,0,Matches,110,190,57.9,1535,254,66,99,66.7,33,65,50.8,4,6,66.7,0,0.7,0.6,-0.7,9,9,1,0,10,Matches,190,176,12,0,0,0,1,2,0,0,0,0,110,2,7,Matches,13,1.89,12,0,0,0,1,0,1,0.15,1,0,0,0,0,0,Matches,3,2,0,2,1,0,3,0,3,8,2,6,1,4,9,0,Matches,283,13,20,136,128,31,283,11,3,27.3,7,63.6,123,451,117,7,3,3,26,12,214,35,Matches
52,Abakar Sylla,Defender,Centre-Back,ci CIV,DF,Strasbourg,fr Ligue 1,20,2002,19.9,2,11,5,45.5,0.55,0.25,0.18,0.4,14.6,0,0,0,1.6,1.6,0.14,0.4,0.4,Matches,1111,1266,87.8,19769,6698,436,473,92.2,567,618,91.7,81,139,58.3,0,0.5,0.2,-0.5,5,52,4,0,72,Matches,1266,1186,79,30,0,7,3,17,0,0,0,0,1111,1,5,Matches,14,0.7,12,0,0,0,0,2,1,0.05,0,0,0,0,0,1,Matches,54,23,30,19,5,29,40,72.5,11,40,11,29,26,80,70,2,Matches,1490,201,717,729,56,18,1490,13,9,69.2,4,30.8,1060,5999,3215,8,11,0,14,7,962,2,Matches
64,Abdel Abqar,Defender,Centre-Back,ma MAR,DF,Alav?s,es La Liga,24,1999,25.7,0,10,3,30,0.39,0.12,0,0,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,553,762,72.6,12370,4872,141,164,86,302,339,89.1,99,225,44,0,0.2,0.2,-0.2,3,61,2,0,49,Matches,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10,Matches,12,0.47,9,0,0,2,1,0,0,0,0,0,0,0,0,0,Matches,35,19,28,5,2,21,35,60,14,31,26,5,23,58,115,0,Matches,1032,191,570,422,42,21,1032,5,3,60,1,20,492,2460,1418,7,6,0,15,1,499,1,Matches
90,Abdou Harroui,Midfield,Central Midfield,nl NED,"MF,FW",Frosinone,it Serie A,25,1998,11.3,3,32,11,34.4,2.83,0.97,0.06,0.18,21.1,0,1,1,3.1,2.3,0.07,-0.1,-0.3,Matches,303,383,79.1,4174,1016,186,216,86.1,84,106,79.2,15,25,60,3,1.2,1.4,1.8,16,29,12,4,38,Matches,383,361,18,4,4,2,12,6,2,1,0,0,303,4,11,Matches,39,3.44,27,0,4,5,3,0,4,0.35,3,0,0,1,0,0,Matches,23,11,11,11,1,8,16,50,8,19,3,16,5,28,8,0,Matches,564,11,79,276,220,32,563,44,19,43.2,21,47.7,308,2227,1221,43,31,8,28,7,378,56,Matches
97,Abdoul Kader Bamba,Attack,Right Winger,fr FRA,"FW,MF",Nantes,fr Ligue 1,29,1994,6.8,2,14,5,35.7,2.06,0.74,0.14,0.4,16.1,1,0,0,2.1,2.1,0.16,-0.1,-0.1,Matches,267,336,79.5,4343,1133,127,151,84.1,103,128,80.5,22,36,61.1,1,1,1.1,0,11,18,10,2,31,Matches,336,307,26,11,3,1,26,6,9,4,3,0,267,3,1,Matches,36,5.29,22,3,2,3,6,0,3,0.44,2,1,0,0,0,0,Matches,10,7,2,5,3,5,15,33.3,10,4,0,4,4,14,4,1,Matches,423,8,46,177,204,26,423,31,10,32.3,14,45.2,346,2364,1179,41,25,13,17,13,327,73,Matches
136,Abdul Mumin,Defender,Centre-Back,gh GHA,DF,Rayo Vallecano,es La Liga,25,1998,18.8,1,6,1,16.7,0.32,0.05,0.17,1,15.9,0,0,0,0.4,0.4,0.06,0.6,0.6,Matches,617,773,79.8,12936,4915,179,203,88.2,355,393,90.3,76,163,46.6,0,0.3,0.1,-0.3,4,34,4,0,38,Matches,773,743,28,26,0,7,2,2,0,0,0,0,617,2,3,Matches,11,0.58,8,0,1,2,0,0,0,0,0,0,0,0,0,0,Matches,19,10,13,4,2,8,10,80,2,27,19,8,22,41,82,1,Matches,956,127,578,359,25,8,956,4,2,50,1,25,492,2318,989,6,2,0,7,3,558,4,Matches
189,Ablie Jallow,Attack,Right Winger,gm GAM,"MF,FW",Metz,fr Ligue 1,24,1998,10.2,3,17,6,35.3,1.67,0.59,0.12,0.33,21.7,1,1,1,2,1.2,0.07,1,0.8,Matches,248,318,78,4487,1116,112,138,81.2,97,120,80.8,30,46,65.2,2,1,0.7,1,12,22,10,0,42,Matches,318,295,21,6,2,8,23,2,12,8,3,0,248,2,7,Matches,30,2.94,19,6,2,1,2,0,7,0.69,6,1,0,0,0,0,Matches,8,5,2,3,3,3,5,60,2,4,0,4,8,16,3,0,Matches,419,4,56,226,151,15,418,38,16,42.1,21,55.3,324,2436,1153,29,27,3,21,14,304,53,Matches
224,Achraf Hakimi,Defender,Right-Back,ma MAR,DF,Paris S-G,fr Ligue 1,24,1998,21.5,4,42,12,28.6,1.96,0.56,0.1,0.33,19.8,9,0,0,4.2,4.2,0.1,-0.2,-0.2,Matches,1712,1979,86.5,25356,8074,948,1030,92,613,696,88.1,77,125,61.6,5,5.2,4.2,-0.2,43,153,45,13,218,Matches,1979,1773,203,29,4,6,79,160,14,1,7,0,1712,3,42,Matches,93,4.33,79,1,2,5,5,1,14,0.65,13,0,0,1,0,0,Matches,29,19,14,9,6,17,34,50,17,28,4,24,12,41,28,2,Matches,2217,68,425,976,835,67,2217,57,27,47.4,30,52.6,1762,9215,4942,84,78,22,33,33,1679,230,Matches
